@ NAME             %04s "CORR"
@ TYPE             %04s "CORR"
@ TITLE            %05s "twiss"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "12/01/12"
@ TIME             %08s "18.04.25"
* NAME                           PX.OLD             PY.OLD      PX.CORRECTION      PY.CORRECTION 
$ %s                                %le                %le                %le                %le 
 "S01MU1A"                            0                  0    0.0003706539571                  0
 "S01MU2A"                            0                  0                  0                  0
 "S01MB3"                             0                  0                  0                  0
 "S02MU1A"                            0                  0    1.632947288e-05                  0
 "S02MU2A"                            0                  0                  0                  0
 "S03MU1A"                            0                  0                  0                  0
 "S03MU2A"                            0                  0                  0                  0
 "S03MB4"                             0                  0                  0                  0
 "S04MU1A"                            0                  0                  0                  0
 "S04MU2A"                            0                  0                  0                  0
 "S05MU1A"                            0                  0        -6.41737793                  0
 "S05MU2A"                            0                  0        7.505763184                  0
 "S06MU1A"                            0                  0                  0                  0
 "S06MU2A"                            0                  0       -3.440119873                  0
 "S07MU1A"                            0                  0        1.931154541                  0
 "S07MU2A"                            0                  0                  0                  0
 "S08MU1A"                            0                  0      -0.3827658691                  0
 "S08MU2A"                            0                  0                  0                  0
 "S09MU1A"                            0                  0      0.07589804077                  0
 "S09MU2A"                            0                  0                  0                  0
 "S10MU1A"                            0                  0                  0                  0
 "S10MU2A"                            0                  0     -0.01761050987                  0
 "S11MU1A"                            0                  0     0.009824532509                  0
 "S11MU2A"                            0                  0                  0                  0
 "S11MB1"                             0                  0                  0                  0
 "S12MU1A"                            0                  0    -0.001916039586                  0
 "S12MU2A"                            0                  0                  0                  0
 "S12MB2"                             0                  0                  0                  0
