@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %07s "MACHINE"
@ PARTICLE         %01s "U"
@ MASS             %le       0.00051099891
@ CHARGE           %le                  28
@ ENERGY           %le              0.0114
@ PC               %le       0.01138854161
@ GAMMA            %le         22.30924524
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7199935
@ ALFA             %le       0.03456888728
@ ORBIT5           %le                  -0
@ GAMMATR          %le         5.378452032
@ Q1               %le                4.17
@ Q2               %le                 3.3
@ DQ1              %le        -6.236264228
@ DQ2              %le        -4.122485803
@ DXMAX            %le          3.37167932
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         29.20713412
@ BETYMAX          %le          23.2423498
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.006051227
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le         7.816065905
@ SYNCH_2          %le        0.6283185307
@ SYNCH_3          %le       0.06283185307
@ SYNCH_4          %le                   0
@ SYNCH_5          %le         0.020458605
@ TITLE            %58s " -- SIS -- :  bend. quad. sex.  with correction to fringe "
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "16/03/12"
@ TIME             %08s "11.22.19"
* NAME               KEYWORD                             S                  L               DMUX               DMUY 
$ %s                 %s                                %le                %le                %le                %le 
 "MACHINE$START"     "MARKER"                             0                  0                  0                  0
 "DR1"               "DRIFT"                          0.645              0.645     -0.02016735259    8.251409035e-05
 "RB"                "SBEND"                    3.262993878        2.617993878      -0.2649399521    -0.005504435296
 "DR2"               "DRIFT"                    4.232993878               0.97      -0.3968145657      -0.0142625654
 "RB"                "SBEND"                    6.850987756        2.617993878      -0.5811489395     -0.06186654842
 "DR3"               "DRIFT"                    13.68999946          6.8390117      -0.5370931759      -0.3856854347
 "QS1F"              "QUADRUPOLE"               14.72999946               1.04      -0.5233173518      -0.4013287133
 "DR4"               "DRIFT"                    15.32999946                0.6      -0.5136503031      -0.4021773976
 "QS2D"              "QUADRUPOLE"               16.36999946               1.04      -0.4965541318      -0.4001401025
 "DR5"               "DRIFT"                    17.07979946             0.7098      -0.4906156875      -0.3988290021
 "QS3T"              "QUADRUPOLE"               17.56019946             0.4804      -0.4912366297      -0.3982402031
 "DR6"               "DRIFT"                    18.05999946             0.4998       -0.497652656      -0.3978710052
 "DR1"               "DRIFT"                    18.70499946              0.645      -0.5178200086      -0.3977884911
 "RB"                "SBEND"                    21.32299333        2.617993878      -0.7625926081      -0.4033754405
 "DR2"               "DRIFT"                    22.29299333               0.97      -0.8944672217      -0.4121335706
 "RB"                "SBEND"                    24.91098721        2.617993878       -1.078801596      -0.4597375537
 "DR3"               "DRIFT"                    31.74999891          6.8390117       -1.034745832      -0.7835564399
 "QS1F"              "QUADRUPOLE"               32.78999891               1.04       -1.020970008      -0.7991997186
 "DR4"               "DRIFT"                    33.38999891                0.6       -1.011302959      -0.8000484028
 "QS2D"              "QUADRUPOLE"               34.42999891               1.04      -0.9942067878      -0.7980111078
 "DR5"               "DRIFT"                    35.13979891             0.7098      -0.9882683435      -0.7967000074
 "QS3T"              "QUADRUPOLE"               35.62019891             0.4804      -0.9888892857      -0.7961112083
 "DR6"               "DRIFT"                    36.11999891             0.4998       -0.995305312      -0.7957420105
 "DR1"               "DRIFT"                    36.76499891              0.645       -1.015472665      -0.7956594964
 "RB"                "SBEND"                    39.38299279        2.617993878       -1.260245264      -0.8012464458
 "DR2"               "DRIFT"                    40.35299279               0.97       -1.392119878      -0.8100045759
 "RB"                "SBEND"                    42.97098667        2.617993878       -1.576454252      -0.8576085589
 "DR3"               "DRIFT"                    49.80999837          6.8390117       -1.532398488       -1.181427445
 "QS1F"              "QUADRUPOLE"               50.84999837               1.04       -1.518622664       -1.197070724
 "DR4"               "DRIFT"                    51.44999837                0.6       -1.508955615       -1.197919408
 "QS2D"              "QUADRUPOLE"               52.48999837               1.04       -1.491859444       -1.195882113
 "DR5"               "DRIFT"                    53.19979837             0.7098       -1.485920999       -1.194571013
 "QS3T"              "QUADRUPOLE"               53.68019837             0.4804       -1.486541942       -1.193982214
 "DR6"               "DRIFT"                    54.17999837             0.4998       -1.492957968       -1.193613016
 "DR1"               "DRIFT"                    54.82499837              0.645       -1.513125321       -1.193530502
 "RB"                "SBEND"                    57.44299225        2.617993878        -1.75789792       -1.199117451
 "DR2"               "DRIFT"                    58.41299225               0.97       -1.889772534       -1.207875581
 "RB"                "SBEND"                    61.03098612        2.617993878       -2.074106908       -1.255479564
 "DR3"               "DRIFT"                    67.86999782          6.8390117       -2.030051144        -1.57929845
 "QS1F"              "QUADRUPOLE"               68.90999782               1.04        -2.01627532       -1.594941729
 "DR4"               "DRIFT"                    69.50999782                0.6       -2.006608271       -1.595790413
 "QS2D"              "QUADRUPOLE"               70.54999782               1.04         -1.9895121       -1.593753118
 "DR5"               "DRIFT"                    71.25979782             0.7098       -1.983573656       -1.592442018
 "QS3T"              "QUADRUPOLE"               71.74019782             0.4804       -1.984194598       -1.591853219
